810.2,812.23,813.07,814.02,811.17,805.59,798.75,792.1,783.78,774.98,765.18,755.46,747.71,742.3,738.38,733.71,730.01,801.14,793.41,784.44,776.39,769.08,761.57,754.1,746.71,739.92,735.59,766.66,768.37,770.35,772.36,782.42,778.64,773.99,768.98,764.52,791.23,786.73,781.79,778.03,782.76,787.72,759.08,753.58,749.07,745.65,749.37,754.45,792.02,784.82,779.72,776.87,772.47,769.22,765.48,770.74,774.72,778.92,782.55,786.93,789.03,780.32,776.94,772.87,767.85,773.84,777.98,781.03,1013.9,1002.2,988.8,975.51,962.16,950.38,940.62,932.13,929.37,929.97,935.44,943.18,951.6,961.85,971.87,983.04,994.22,1007.7,1010.3,1008.1,1002.8,997.72,995.9,997.53,997.8,996.54,992.74,991.78,984.15,976.58,968.21,968.38,965.27,962.71,963.43,965.34,998.89,998.61,997.27,994.11,993.88,995.73,989.43,989.7,989.14,987.13,985.77,987.1,956.33,955.09,954.22,952.3,952.78,952.41,951.57,947.53,945.77,945.64,946.8,950.13,955.06,953.02,952,951.9,951.09,949.67,949.94,950.88
778.13,776.31,773.92,771.11,767.48,763.24,757.73,751.97,746.35,740.97,736.82,733.2,732.03,731.65,732.55,733.65,734.63,776.61,774.95,771.55,767.4,763.45,757.18,754.1,750.38,746.87,743.6,759.08,758.58,758.1,757.53,760.63,758.19,755.48,753.21,751.39,771.4,769.52,767.22,764.53,766.75,769.05,752.49,749.87,747.24,744.77,746.97,749.58,759.66,758.24,756.31,754.06,752.11,749.15,745.45,748.45,751.23,753.13,755.01,756.98,759.25,755.62,753.47,751.49,746.66,751.67,753.64,755.72,981.7,976.89,971.69,966.72,962.7,959.97,959.57,961.18,963.36,965.68,968.55,972.23,976.5,981.35,986.32,991.04,995.41,988.11,991.94,994.99,996.19,995.49,997.78,1000.1,1001.6,1001.7,1000.7,993.6,991.75,990,987.85,981.97,981.99,982.26,983.57,985.13,986.14,987.78,988.87,989.29,987.7,986.84,993.21,994.73,995.09,995.24,994.14,993.28,972.76,976.44,977.62,977.87,978.83,979.03,977.93,977.92,978.06,977.22,976.79,975.6,973.8,976.23,976.43,977.49,978.48,978.56,977.73,977.46
765.03,763.49,761.25,758.42,754.72,750.2,746.21,742.15,738.76,734.6,731.62,729.43,727.73,726.44,727.21,728.97,730.43,764.57,763.15,761.3,758.64,755.6,751.14,748.41,745.24,741.7,738.34,751.93,750.97,750.05,749.15,749.15,748.02,746.84,745.84,744.97,760.45,759.35,757.6,755.45,756.86,758.61,746.38,745.34,743.3,740.95,742.36,744.49,747.95,747.75,746.51,744.82,743.6,741.15,737.98,739.6,740.92,742.33,743.91,746.13,747.43,745.58,744.1,742.87,738.78,742.27,743.42,744.91,980.43,975.79,971.2,966.74,963.06,960.17,957.46,955.84,956.85,958.97,962.76,967.09,972.1,977.91,983.58,988.73,993.43,985.14,986.99,988.78,989.82,990.15,992.26,995.01,997.52,998.36,998.73,988.28,984.75,981.4,977.84,973.72,973.89,973.66,975.01,976.46,982.99,984.89,985.89,985.77,984.34,983.43,990.59,992.31,993.35,993.5,991.99,991.09,964.24,965.95,967.75,968.1,969.45,970.2,970.17,968.03,965.89,964.73,964.11,964.06,964.65,966.41,967,968.25,969.44,967.63,966.33,965.73
722.47,722.31,722.47,722.67,723.18,723.93,724.9,726.02,727.31,728.6,729.81,731.01,731.74,732.2,732.44,732.84,733.19,723.42,724.3,725.34,726.27,727.17,729.51,730.27,730.98,731.64,732.18,728.1,728.08,728.02,728,726.79,727.16,727.54,727.99,728.32,724.44,725.14,725.77,726.41,725.74,725.07,729.39,730.1,730.7,731.28,730.6,729.97,725.4,725.98,726.82,727.36,728.05,728.75,729.37,728.62,727.88,727.23,726.64,725.87,725.66,726.79,727.34,727.96,728.98,727.9,727.25,726.7,963.77,965.41,967.11,968.64,970.04,971.38,972.31,972.73,972.75,972.44,971.71,970.71,969.81,968.84,967.6,966.53,965.44,961.4,960.95,960.91,961.24,961.89,962.18,962.22,962.29,962.43,962.69,963.13,964.27,965.33,966.5,967.14,967.31,967.42,967.43,967.31,963.16,962.93,962.98,963.27,963.45,963.45,963.56,963.51,963.68,964.01,964.08,964,969.42,968.7,968.47,968.61,968.51,968.91,969.41,969.97,970.26,970.33,970.26,969.98,969.35,969.09,969.18,969.12,969.48,969.39,969.46,969.41
645.09,643.47,642.89,643.24,649.25,659.57,671.95,683.73,695.58,705.1,713.91,721.99,728.36,732.04,733.38,734.93,735.8,666.61,675.13,683.67,692.14,699.6,715.15,721.92,728.12,732.08,732.06,705.31,705.94,706.67,707.24,693.37,698.35,702.82,706.1,708.99,675.43,681.28,686.06,690.04,685.64,680.48,713.06,717.56,722.07,725.62,721.96,717.35,676.9,687.29,696.15,700.26,705.36,710.31,711.72,707.75,703.05,698.26,693.37,684.63,679.86,695.55,699.81,704.46,709.15,703.61,698.87,694.38,925.49,938.89,952.16,966.24,978.07,989.28,997.68,1004,1006.2,1002.9,994.04,986.04,978.56,969.86,961.47,952.38,943.51,924.64,921.68,921.35,923.92,928.32,930.68,929.47,929.88,934,939.33,938.51,944.11,949.67,955.65,963.72,965,966.1,966.05,965.83,934.49,933.86,934.58,937.72,937.89,937.35,942.81,942.16,943.32,945.88,946.42,945.34,977.15,974.51,974.66,976.7,975.86,977.72,981.45,987.1,988.51,988.78,987.93,984.12,977.46,978.09,979.39,979.19,980.97,983.21,983.53,982.66
610.34,608.23,606.58,606.39,608.73,617.84,629.6,642.77,657.12,670.83,684.13,697.65,708.62,716.05,721.25,725.29,728.63,634.73,644.89,655.91,666.32,674.19,690.23,699.97,710.28,718.49,723.08,680.96,679.88,678.6,677.53,659.03,665.63,672.95,680.23,687.01,644.6,651.49,657.36,663.19,657.17,651.25,689.06,695.46,701.11,707.14,700.6,694.94,636.54,650.23,662.61,669.26,677.38,685.4,689.29,681.57,672.28,663.37,655.68,645.08,639.4,661.03,668.41,676.16,686.62,673.63,665.49,658.19,886.23,902.26,917.25,933.22,948.14,960.38,971.8,981.82,987.84,986.64,980.32,973.02,963.87,950.98,936.81,924.48,913.31,884.43,879.71,880.1,883.8,891.27,896.46,895.66,897.66,901.18,908.55,904.87,912.7,919.99,927.75,929.97,934.01,937.67,937.33,936.28,901.55,903.05,903.94,906.16,905.76,904.33,912.06,912.74,914.45,916.16,916.1,914.89,945.1,941.98,943.98,947.1,947.49,950.98,957.44,964.54,967.13,965.85,963.53,957.26,945.26,948.42,950.42,951.87,956.96,960.67,959.32,957.46
559.81,558.06,557.58,556.85,559.3,567.78,580.71,591.76,606.2,621.9,640.24,660.4,679.92,693.64,703.51,710.84,718.44,583.68,596.63,613.08,628.97,641.91,657.76,675.49,692.27,706.48,714.14,642.7,639.78,637.12,634.74,611.98,621.02,631.46,643.01,653.36,601.26,609.71,617.04,624.96,617.93,609.97,660.7,671.52,679.62,687.3,678.71,670.53,585.76,601.54,614.85,624.59,636.9,648.22,659.21,645.51,633.17,620.57,610.34,597.24,588.35,613.78,623.94,635.79,656.52,634.31,622.12,611.67,804.79,827.77,850.07,872.28,892.24,910.16,927.94,941.66,948.92,949.35,943.48,934.31,921.58,901.86,880.69,861.48,841.56,807.63,796.85,795.64,802.13,811.81,813.59,810.45,813.35,819.82,831.71,825,837.38,849.02,861.34,861.6,868.28,873.79,873.1,871.2,823.06,825.05,825.56,827.29,828.04,826.56,832.68,833.56,835.57,837.37,838.92,837.09,884.97,883.25,884.45,888.4,889.43,892.32,899.04,902.96,904.23,903.03,899.6,893.33,883.6,889.57,892.25,894.71,898.3,897.58,896.2,893.69
507.32,502.33,495.86,493,497.56,508.73,522.15,535.49,550.8,570.51,594.77,619.18,640.08,655.5,668.59,680.98,693.79,539.99,559.45,579.52,597.5,610.16,627.8,647.49,666.87,679.84,685.73,611.09,605.88,601.36,596.04,569.53,578.05,587.82,599.4,610.13,555.54,567.28,576.93,582.99,573.88,564.03,630.26,643.88,653.23,660.19,649.57,640.67,534.08,556.2,572.29,580.49,593.3,607.09,621.78,599.34,583.86,572.12,562.21,547.68,539.47,569.31,578.2,590.3,617.63,586.85,574.42,565.27,713.33,737.49,760.56,784.66,807.65,827.28,847.75,864.18,873.02,876.83,876.45,873.74,864.96,845.33,824.62,805.88,787.24,704.53,696.32,697.38,707.72,720.77,732.23,729.03,736.46,749.53,764.48,737.95,750.46,762.11,775.35,777.02,785.14,793.09,794.42,794.26,722.78,722.17,726.85,737.66,734.97,730.35,756.92,755.43,759.4,766.35,767.12,763.41,796.56,797.04,802.03,806.67,810.08,817.21,831.02,829.43,826.28,823.04,819.23,811.74,797.97,808.33,811.78,815.48,828.44,820.31,817.53,814.17
438.8,440.08,442.58,445.23,451.4,462.99,480.33,501.16,524.2,548.67,570.49,587.32,599.65,605.66,609.76,613.91,615.72,461.19,475.46,489.49,501.75,514.11,551.98,566.98,581.65,595.08,604.49,532.62,532.98,532.61,532.23,515.17,522.43,531.28,538.72,545.65,481.26,486.4,495.44,502.1,495.59,487.12,558.38,565.75,574.58,580.68,574.91,566.86,489.64,504.39,514.91,526.62,539.15,549.5,561.46,547.15,536.85,524.18,512.68,502.01,493.34,514.61,526.14,538.76,558.54,537.75,525.54,514.59,643.99,669.33,693.24,717.63,741.94,767.2,788.62,801.84,805.71,802.61,788.59,770.99,748.65,724.35,700.07,676.72,655.7,619.24,610.94,612.78,621.09,627.96,627.29,621.07,616.76,615.39,623.52,642.58,660.59,678.24,696.17,697.87,702.68,705.6,703.69,701.1,642.28,638.17,638.75,643.35,646.29,646.38,648.06,643.99,644.61,648.94,651.18,651.02,738.07,734.59,734.86,739.14,737.64,739.55,745,751.16,751.21,751.22,748.67,744.43,738.05,739.57,742.13,741.33,744.17,741.33,742.35,739.42
390.5,388.31,386.76,385.1,386.61,394.44,410.34,433.96,460.91,489.82,517.38,541.1,560.45,572.41,580.39,589.62,597.95,416.87,430.84,449.35,464.89,477.78,512.61,530.31,547.27,562.21,572.88,488.51,484.34,480.26,476.31,452.52,464.12,476.95,489.41,500.53,431.15,440.54,451.87,460.96,450.93,439.76,519.82,529.62,539.82,548.33,540.03,529.58,433.07,447.39,459.88,471.96,487.63,499.38,514.68,498.23,486.18,470.94,457.88,445.67,439.44,458.99,471.53,486.77,509.95,486.57,471.78,459.24,573.36,600.38,629.37,657.02,684.29,707.58,729.91,745.84,754.23,751.85,746.29,736.66,717.43,691.72,664.08,636.66,609.59,551.62,541.37,543.64,551.83,563.99,568.21,561.79,559.75,562.31,572.16,587.85,607.31,626.81,647.02,651.95,658.05,662.69,660.25,656.85,586.57,583.91,585.28,591.38,593.11,590.91,597,594.35,596.37,600.3,601.96,601.04,688.04,682.45,682.91,688.27,687.3,688.6,696.98,697.1,699.04,699.12,697.08,693.89,688.67,689.12,692.31,692.59,695.74,691.72,690.83,687.88
